,Year,Day,Air Quality Health Index,Carbon Monoxide,Fine Particulate Matter,Methane,Nitric Oxide,Nitrogen Dioxide,Non-methane Hydrocarbons,Outdoor Temperature,Ozone,Relative Humidity,Total Oxides of Nitrogen,Wind Direction,Wind Speed
0,2022,1,4.0,0.38,36.0,2.6,0.016,0.032,0.0,30.4,0.059,99.9,0.048,358.0,24.2
1,2022,2,4.0,0.51,27.7,2.4,0.038,0.031,0.0,23.0,0.06,100.0,0.066,355.0,21.0
2,2022,3,4.0,0.29,16.8,2.5,0.009,0.028,0.0,27.0,0.059,99.9,0.037,358.0,17.1
3,2022,4,3.0,0.24,23.1,2.4,0.01,0.017,0.0,20.6,0.05,99.9,0.024,358.0,21.9
4,2022,5,3.0,0.2,12.4,2.1,0.012,0.017,0.0,21.6,0.042,99.8,0.027,360.0,25.3
5,2022,6,3.0,0.29,16.1,2.3,0.017,0.019,0.0,25.1,0.044,100.0,0.031,354.0,15.7
6,2022,7,4.0,0.25,39.4,2.4,0.009,0.02,0.0,29.5,0.049,99.9,0.025,360.0,15.6
7,2022,8,4.0,0.42,20.3,2.3,0.025,0.026,0.0,29.0,0.062,99.9,0.048,352.0,21.9
8,2022,9,3.0,0.34,13.0,2.1,0.011,0.021,0.0,26.7,0.052,90.7,0.032,356.0,15.0
9,2022,10,4.0,0.26,40.1,2.3,0.023,0.023,0.0,26.4,0.058,95.5,0.046,344.0,20.0
10,2022,11,3.0,0.25,22.6,2.4,0.026,0.026,0.0,30.2,0.053,99.7,0.046,359.0,24.2
11,2022,12,4.0,0.32,17.8,2.4,0.044,0.023,0.0,31.0,0.064,100.0,0.065,360.0,16.9
12,2022,13,4.0,0.25,10.2,2.2,0.026,0.02,0.0,30.5,0.063,99.9,0.045,357.0,22.1
13,2022,14,4.0,0.47,12.4,2.3,0.011,0.03,0.0,28.6,0.061,100.0,0.034,358.0,45.8
14,2022,15,4.0,1.25,17.9,2.3,0.01,0.023,0.0,30.5,0.064,99.9,0.03,359.0,36.3
15,2022,16,4.0,0.33,24.0,2.5,0.037,0.027,0.0,29.9,0.069,99.9,0.055,360.0,26.6
16,2022,17,3.0,0.32,14.2,2.2,0.009,0.019,0.0,26.6,0.057,99.9,0.025,356.0,15.3
17,2022,18,4.0,0.37,22.2,2.6,0.034,0.024,0.0,29.9,0.054,100.0,0.058,358.0,12.5
18,2022,19,4.0,0.49,25.2,2.8,0.021,0.03,0.0,30.8,0.056,100.0,0.05,359.0,20.4
19,2022,20,4.0,0.25,20.6,2.6,0.017,0.019,0.0,26.5,0.052,99.9,0.035,353.0,21.0
20,2022,21,4.0,0.35,22.5,2.3,0.02,0.018,0.0,27.9,0.061,99.9,0.038,359.0,19.6
21,2022,22,5.0,0.32,25.2,2.9,0.025,0.02,0.0,27.0,0.063,99.5,0.042,357.0,17.7
22,2022,23,3.0,0.28,13.0,2.2,0.016,0.02,0.0,24.5,0.05,100.0,0.036,358.0,21.2
23,2022,24,4.0,0.25,18.9,2.2,0.013,0.018,0.0,26.6,0.052,100.0,0.021,359.0,33.7
24,2022,25,3.0,0.35,17.2,2.5,0.024,0.02,0.0,23.6,0.055,100.0,0.044,360.0,13.0
25,2022,26,4.0,0.46,34.2,2.7,0.035,0.019,0.0,26.8,0.062,99.8,0.053,354.0,20.1
26,2022,27,4.0,0.4,18.8,2.7,0.017,0.023,0.0,27.6,0.064,100.0,0.04,359.0,22.7
27,2022,28,3.0,0.29,18.2,2.5,0.021,0.018,0.0,30.2,0.046,100.0,0.039,355.0,16.7
28,2022,29,4.0,0.3,16.7,2.7,0.049,0.022,0.0,31.5,0.06,99.9,0.07,353.0,19.8
29,2022,30,3.0,0.28,20.1,2.3,0.037,0.016,0.0,30.6,0.048,100.0,0.054,356.0,16.0
30,2022,31,4.0,0.53,17.8,2.5,0.012,0.027,0.0,31.9,0.071,99.6,0.034,357.0,16.8
